Tweet,positive,negative,neutral,question,suggestion
@united why do I have to go thru the details of the flight I want w/ the recording to then repeat ALL when a real person gets on the line?,0,1,0,1,0
@united Looks like they came through. Thanks again for the help.,1,0,0,0,0
@united why would a person take hours and hours of wait time just to tell a lie,0,1,0,1,0
@united hey! DM not working. UA 307!,0,0,1,0,0
@united the refund team is far from customer care courtesy they need training on work ethics. So it's like sir u r lying how can I help,0,1,0,0,1
@united splitting up my flights quadruples the price,0,0,1,0,0
@united contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?,0,1,0,1,0
@united after several trials and several hours of waiting on phone to contact customer care to get my refund all I get is cold shoulder,0,1,0,0,0
@united I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather,0,1,0,0,0
@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,1,0,0,1,0
@united what I don't understand isn't flight that I paid premium for getting Cancelled Flighted and the best you can do is next available flight...,0,1,0,1,0
"@united Flight is awful only one lavatory functioning, and people lining up, bumping, etc. because can't use 1st class bathroom. Ridiculous",0,1,0,0,0
@united Are the current on board food menus available anywhere online?,0,0,0,1,0
@United Airlines Is Changing Its MileagePlus Program: Winners And Losers http://t.co/F1yvAiO9ul http://t.co/vGlx6Ykwqg,0,0,1,0,0
@united actually we aren't. Still parked here.,0,0,1,0,0
"Can I put sun in my carry on? RT “@united: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”",0,0,1,1,0
@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,1,0,0,0,0
@united Why can I only apply one travel certificate per itinerary even when I have multiple flights?,0,0,0,1,0
@united appreciate the sentiment and you were able to get me off the ground still missed connection,1,0,0,0,0
"@united I log in, view reservations, try view specific reservation &amp; takes me back to login page,",0,1,0,1,0
"@united it just goes round &amp; round, it's be going on for weeks,",0,0,1,0,0
Thank you @united for your prompt assistance.,1,0,0,0,0
@united 3 times my flight has been delayed and I miss my next flight. This time you've lost my baggage. No clean clothes. $337 flight. Thx!,0,1,0,1,0
@united I looked on the email chain and there is not one,0,0,1,0,0
@united why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,0,1,0,1,0
@united thanks for more timely updates.,1,0,0,0,0
@united Do you also want the naming rights to my first child so I can fly home and visit with my mother and avoid more winter depression?,0,0,1,1,0
@united I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler,0,1,0,0,0
@united I get that. But doing it by giving inaccurate/misleading info doesn't seem like a great way to do it. #hopethegearmakesitintact,0,1,0,0,1
@united cleaning a regional jet takes an hour?,0,0,0,1,0
@united Baggage check in and in flight crew the friendliest ever Flight#417 ogg to Lax !!!,1,0,0,0,0
@united thanks. That means I have 30 minutes to make my international connection to HKG,1,0,0,0,0
@united @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.,0,0,1,0,0
"@united You just tried to charge $750 for a $539 flight when I tried to make a change over the phone, not including $200 change fee. WTF",0,1,0,0,0
@united Thank you for your offer! All sorted out :-),1,0,0,0,0
@united workin on it. Waiting on him to reply.,0,0,1,0,0
@united Flight 395. Rolling delay of 1 hour 42 minutes,0,0,1,0,0
@united I believe just customer service. At last post he was at Narita in Tokyo. They sent him to a motel to rest. Said standby maybe 2days,0,1,0,1,0
@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!,1,0,0,0,0
@united of course not. The inflight crew was great!,1,0,0,0,0
@united The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream. Smoothest landing ever.,1,0,0,0,0
@united your website is a complete joke when using safari!,0,1,0,0,0
@united the new seats on the Canadaair regional jets just plain suck.,0,1,0,0,0
@united I'm in another country - please Cancelled Flight my reservation. I've booked through Swiss air,0,0,1,1,0
@united airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman,0,1,0,0,0
@united that's the reply? Lol hoping that at least the new plane was maintained before the flight. ?,0,1,0,1,0
@united Did somebody say flight upgrade?,0,0,0,1,0
@united how is it tripitPro has accurate delayed dept. times and 2hours Late Flightr I hear the same from you? Just curious,0,1,0,1,0
"@united I can tell you. Your airline has lost mine and my families business. 
This day and age message through Twitter travels fast.",0,1,0,1,0
@united trying to reach him for the number. At last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye!,0,0,1,0,0
@united this is very disappointing. This is about customer service.,0,1,0,0,0
"@united boarded 6373 on time, deplaned, and now 100 minutes delay. No transparency during. Can't wait to give up my gold status for AA.",0,1,0,1,0
@united @44Stocker my wife Sarah stocker did also called but could not connect me to customer service,0,1,0,1,0
"@united Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff",0,1,0,1,0
@united flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.,0,1,0,1,0
@united nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?,0,1,0,1,0
@united that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,0,1,0,0,0
@united obviously no one knows a darn thing around here.  What are we to do if this does not get resolved? http://t.co/Ph8QJzaPKx,0,1,0,1,0
"@united so going forward, I shouldn't be Flight Booking Problems Star Alliance flights through the United App?",0,0,1,1,0
@united I have those notifications yet the staff on board say that is not accurate and they have no departure time.,0,1,0,0,1
@united I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.,0,1,0,1,0
@united DM sent.  This lack if customer service is getting ridiculous.,0,1,0,0,0
@united delayed going home AGAIN. Getting really tired of delays.,0,1,0,0,0
@united a big thanks to ^MN and ^KN or patiently clarifying the United domestic world to me.,1,0,0,0,0
@united uh - I booked it through the UA website. Why the price change?,0,0,0,1,0
@united I'm rebooked. Getting home 4 hours Late Flightr then planned. What are the chances I'll ever see my bag again? #unhappytraveler,0,1,0,1,0
"@united United Club team is A+ &amp; got me a seat Late Flightr. Still, not sure why a last min UAL Cancelled Flightlation costs me $ yet overbooked folks get $?",0,1,0,1,0
"@united will flight 5559 to YYC be providing free food when we are allowed back on board  after the ""broken lightbulb""",0,0,0,1,0
@united I was not looking for the fare to be returned on the companion flight.  don't understand why an additional $200 fee was necessary.,0,1,0,1,0
"@united thank you so much, that helps a ton. Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight. #problemsolvers",1,0,0,0,0
@united I left headphones in 2A on UA4689 from YHZ-EWR. It's a long shot to see them again. But worth a tweet anyway!,0,0,1,0,0
@united 129 thousand fans of @JedediahBila are asking you to give her your utmost effort to get her a safe flight with her baggage soon!,0,0,1,0,0
@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other,0,0,1,0,0
@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,1,0,0,0,0
@united Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever!,0,1,0,1,0
@united yes to three different checkers along the walk to the plane. Overkill,0,1,0,0,0
@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,0,0,1,0,0
"“@united: @LRuns4Cupcakes Please DM details, we'd like to help if you need assistance. ^KP” @ClarkHoward #Another #Airlines #Issues",0,0,1,0,0
@united or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,0,0,1,0,0
@united please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,0,0,1,1,0
"@united made to check in my carry on from Flight 1449 PBI to Newark. Plane luggage stow not full. U r costing me time, money &amp; aggravation!",0,1,0,1,0
@united I have no way to contact her while she is in flight. This does not work for me. Her father is about to pass and is heading to Denver,0,1,0,1,0
"@united we are on two more flights today, let's hope the kit does not get the same treatment!! http://t.co/Pd3nbAAkxH",0,0,1,0,0
@united - please help regarding PNR A3ZZ0F. Why am I now waitlisted for a flight?,0,1,0,1,0
@united just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now,0,0,1,0,0
@united I hope you have a solution or insurance to cover this issue ?,0,0,0,1,0
@united customer service has no solution and now we might miss a show because of them,0,1,0,1,0
@united deserves to go bankrupt. Just delayed an outbound flight with no info on the connecting flight that we're going to miss,0,1,0,0,0
@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,0,1,0,0,0
@united not anymore.  Finally was ticketed 5 min before takeoff.  Not sure why the confusion with a full-fare GSA ticket.,0,1,0,1,0
@united Do miles earned with Explorer card count toward lifetime miles?,0,0,1,1,0
"@united yes, but they still don't know where it is.  I've been told it might be on a flight, but now no one can confirm it.",0,1,0,0,0
@united what do I do if something is missing from my checked baggage?,0,0,0,1,0
"@United wind chill in Ithica -17 degrees, and for the trouble of losing my clothes they give me a t-shirt. I'll burn it for warmth. #united",0,1,0,1,0
"@united Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better.",1,0,0,0,0
@united Frontier is currently offering their weather exceptions for this weekend. When is United?,0,0,1,1,0
"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",0,1,0,1,0
"@united crew has been notified, passenger moved but water not fixed. Now on tarmac two hours",0,1,0,1,0
@united that link is not helpful as it does not put me In touch with management,0,1,0,0,1
"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive",1,0,0,0,0
"@united Delayed CMH to ORD. Ran to gate 1 min b4 connection -door closed no one around. Ignored by 1st agent, 2nd super rude. #thanksunited",0,1,0,1,0
"@united @upgrd I guess the Kit Kat looks tasty... not going near that ""sandwich.""",0,0,1,0,0
@united: Worse - headed to LaGuardia (delayed).  Why is the tray table the size of a mouse pad and the overhead the size on my pocket?,0,1,0,1,0
@united now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app: http://t.co/FY6f9rZB9k,0,1,0,1,0
@united your customer service is terrible,0,1,0,1,0
@united please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O,0,0,1,0,0
"@united define ""appreciate"". I doubt the worst major airline in the USA acts on much feedback.",0,1,0,1,0
"@united yea, a refund. Your airline ruined our trip.",0,1,0,1,0
@united that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed,0,1,1,0,0
"@united thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation",0,1,0,1,0
"@united Got rebooked on AA.  One question though, do you automatically refund the check baggage fees for flight that was Cancelled Flightled?",0,1,0,1,0
@united It is all good -- your 1K team has been nothing short of amazing with everything.,1,0,0,0,0
@united new flight has me at the window. Kind of ticked off. I pick aisle seats only because I hate window seats. #annoyed #EpicFail,0,1,0,0,0
@united good fly!! #United #businessFirst,1,0,0,0,0
.@united Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.,0,1,0,0,0
@united is a money sucking airline with terrible terrible customer service,0,1,0,1,0
@united - are you aware your airbus fleet sucks?  I'd rather fly a C-130 full of rubber dog shit.,0,1,0,1,0
@united Will you be issuing an exception policy for Denver for this weekend?,0,0,0,1,0
"@united I need a breakdown of what the ""international surcharge"" on my flights cover. Please help",0,0,1,0,0
@united https://t.co/jpd7NsGRT7. Fyi your staff are telling customers to try other carriers,0,0,1,0,0
@united couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed,0,1,0,1,0
@united no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail,0,1,0,1,0
@united Based on suggestions from other passengers I have a rental car on standby for 11:30.  One way or another will be leaving then.,0,0,1,0,0
@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....,0,0,1,0,0
@united no wifi on flight ua688. SF to ORD. Really?  Wow,0,1,0,0,0
@united gives Belfast a #Hug with the new unmissable #BusHug format #impact #busads #thinkbus @BelfastAirport http://t.co/AvbdstJUJS,0,0,1,1,0
@united is the worst http://t.co/27aitZl6nd,0,1,0,0,0
@united haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather,0,1,0,0,1
@united no because you will charge me or delay me further. United 1612 still waiting.,0,1,0,0,0
"@united @Adam_Karren @zj76 how did you save the $200 on checked snowboard? Trying to check in this morning, website wants $200! (prem.gold)",0,0,1,1,0
"@united traveling from FRA thru IAD to MCO tomorrow, concerned abt IAD weather. Can't change until advisory issued? Any advice?",0,0,1,1,0
@united I did and then she made me feel guilty because it was economy plus and I didn't pay for the extra leg room,0,1,0,0,0
@united my flight Cancelled Flightled new flight 5012 hopefully will not.,0,1,0,1,0
@united #4781 Cancelled Flightled. #5102newflight I will be upset if this one Cancelled Flights too. I could have rented a car if they would have been honest.,0,1,0,1,0
@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!,1,0,0,0,0
"@united Hi, flight 1051. If I try and book a new one way,  flight departure shows up as 3:55pm which seems accurate. :)",1,0,0,0,0
@united Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.,0,1,0,1,0
@united Who can I contact about requesting a charity donation? #ThankYou,0,0,1,1,0
@united WTH be honest with your customers.  This better be the last change or we are driving home.  Has our plane left or not!,0,1,0,0,1
@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,0,1,0,1,0
@united I need a customer service manager to contact me please,0,0,1,0,0
@united Is flight 5001 really going to leave Newark today?  If not tell us now and I will rent a car.  I do not want to end up stranded.,0,1,0,1,0
.@united thanks for the reply. I saw that but it's not particularly helpful to a hungry vegetarian not flying those specific flights. SHRUG.,0,1,0,0,0
@united so funny that my boarding pass said PRIORITY a because clearly I am not a priority to this airline,0,1,0,0,0
@united I'm sure you will offer me nothing for the inconvenience you have put me through TWICE this month. Tweets don't cut it,0,1,0,0,0
@united or you'll Cancelled Flight my flight like you just did,0,1,0,1,0
@united screwing me over twice in one month. Learned my lesson. We are through.,0,1,0,0,0
@united what's the point of offering a free checked bag of you lose it?,0,1,0,1,0
@united Please send me the link/email to formally compliment Irene in SLC on some of the best customer service ever. #PaxEx,1,0,0,0,1
"@united yes. Houston Int'l, Bush.",0,0,1,0,0
@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.,0,0,1,1,0
"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!",0,1,0,1,0
@united education of that staff is needed - he also turned away other first class cabin passengers with mileage plus.,0,1,0,0,1
@united Item (not mine) mysteriously ended up in my checked bag after a #EWR to #YOW flight.  Missing a black box? http://t.co/SJQEmDtQmA,0,1,0,1,0
@united My guess:flight is going to be Cancelled Flightled because there are 16 empty seats and those who confirmed are not important. #frustrated,0,1,0,0,0
"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers",0,0,0,0,1
@united I need assistance with pulling your agents' heads out of their asses,0,1,0,0,0
"@united gates were DEFINITELY NOT FULL. We were parked and wheels were chocked. Customer service called it an ""UNMET ARRIVAL""!!",0,1,0,1,0
@united in spite of flight delay great customer service provided by Janet and baggage employee Karen. You have 2 wonderful employees United.,1,0,0,0,0
@united I really have a hard time believing that 4 planes in this terminal are all delayed for mechanical issues. #whatgives #dullessucks,0,1,0,0,0
@United to start 3xdaily @EmbraerSA #ERJ145 flights from #Chicago @fly2ohare to #Evansville on 4JUN #avgeek,0,0,1,0,0
"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !",0,1,0,0,0
@united worst airline ever. Thanks for the slew of rude agents and staff making my delayed flights even worse.,0,1,0,1,0
@united no chance in hell. I'd rather walk. Worst airline ever.,0,1,0,1,0
@United is the worst major US airline.  More proof: they're boarding the plane with the outside galley door open in 0 degree weather.  Wtf?,0,1,0,1,0
@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),0,0,1,0,0
@united always makes our cross country flights rad. @hemispheresmag here's baby flier Charlotte! #8thtime5MonthsOld http://t.co/kCqnwIXUCm,1,0,0,1,0
@united coupled with self-service policies/cost cutting exacerbates the noted issues. (3/3),0,0,1,0,0
"@united I appreciate the immediate offer, but suspect it is more long-term issue/not simple fix. Also, ski/bootbag policy is awkward at best",1,1,0,0,0
"@united It isnt simple issue, generally how you set up check in/baggage policies at Logan and general unhelpfulness of employees in early AM",0,1,0,1,0
@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual,0,1,0,1,0
@united I already follow you. One of you 800-number agents rebooked me. Went from a 777 to an a320. Ugh.,0,1,0,0,0
@united good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! http://t.co/9tbsJquw41,1,0,0,0,0
@united never fails to have delayed flights ?,0,0,0,1,0
"@united Yes, myself and about 200 other people also.",0,0,1,0,0
@united is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl,1,0,0,0,0
@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA,0,0,1,0,0
@united lets do that can you email boarding pass?,0,0,0,1,0
“@united: @Addair  We hope you don't miss your connection. For help with re-Flight Booking Problems please Follow us &amp  DM your confirmation. ^CP”done thx,0,0,1,0,1
@united is ridiculous! UA6 delayed for 3.5 hours and counting. Should have booked with a diff airline that takes it seriously #unitedsucks,0,1,0,1,0
@united provide a voucher for one of my customers and I will tweet about you all day long #earnedmybusiness,0,0,0,0,1
@united at MSP w/3 employees trying to check in several hundred and the line is crazy might miss our plane be sure to thank these employees,0,1,0,0,0
@united stellar customer service. You have earned my business by your attention to detail.,1,0,0,0,0
@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler,1,0,0,0,1
@united  i think No first class passenger should have to pay for inflight wifi.,0,0,0,0,1
Hey @united you've upgraded me on a 10 hour International flight. I forgive you :-) thank you!,1,0,0,0,0
"@united my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever",0,1,0,1,0
"@united's first flight (4651, to #IAH) from #IAD is delayed...because no one hooked up ground power to the plane. Get it together, folks.",0,1,0,0,1
"@united  UA 1706 there is no way a plane ""loses its software"" I believe you decided to do an upgrade...",0,1,0,0,0
@united already missed connection... UA 495 :(,0,1,0,0,0
@united typically once you get the problem fixed - then the crew expires - and the delay turns into a Cancelled Flight...,0,1,0,0,0
"@united UA 1706 delayed again - I get charged $600 if Late Flight by you - you say ""oh well""",0,1,0,0,0
@united we are trying to go as far away from King'sCollegeLondon as possible for #charity today. Would you help us ? #jailbreak #RAG,0,0,1,1,0
"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service.",0,1,0,1,0
@united yes to more food! Add some gluten free options while you're at it,0,0,1,0,0
@united no. U guys suck. I'll never fly with u again. And ur supervisors suck too.,0,1,0,1,0
@united on a flight to New York! Love the quality planes on United!! #WTF #crappy #aviation #NewYork http://t.co/zv6CfPoHl5,0,1,0,0,0
@united @paigeworthy : page United values your tweet b/c it's so rare that they receive tweets complimenting their service...most are fake.,0,0,1,0,0
@united yes there is when you keep getting the same robotic answer.,0,0,1,0,0
@united  thank you for a great flight in gfc :) Cheers http://t.co/nvLnGLnMGN,1,0,0,0,0
@united bad customer service  to NYC a few weeks ago. Thinking of moving on,0,1,0,1,0
@united @danahajek : United's CEO has decided to outsource and or push out more and more of their skilled and loyal employees..lack of staff,0,1,0,0,0
"@united I mean, your employees were really nice as I literally sobbed",0,1,0,0,0
"@united @danahajek : she means to say there has been so many complaints today (this week, this month) that she can't respond b/c she's alone",0,1,0,0,0
@united I was flying home for a 9:30am event tomorrow. You pushed back my flight. Now I have a $400 ticket that won't get me home in time.,0,1,0,1,0
@united They held the plane! Made it!! thanks :),1,0,0,0,0
@united - you delayed our departure by 2 hrs to wait for passengers from another flight that was Late Flight! Unacceptable!!,0,1,0,1,0
"@united ok, have sent u info via DM. I appreciate your help and consideration. ",1,0,0,0,0
@united flight 1136 from Chicago to Houston over 2 hours and no pretzels or peanuts?! Seriously about passed out.,0,1,0,1,0
@united nice and early back home! http://t.co/geG4nghmIE,1,0,0,0,0
@united - after having to now TAG MY OWN bags at the airport I was hoping they would actually arrive WITH me - here's hoping they arrive,0,0,1,0,0
@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace,1,0,0,0,0
@united I had planned to book additional flights tonight but after 1 1/2 hrs working on one trip I'm worn out! #EnoughIsEnough,0,1,0,0,0
@united so much for being here to help. Very disappointed in your customer service.,0,1,0,1,0
"@united If you'd love to see more girls be inspired about becoming pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",0,0,1,0,0
@united your system is down and after being on hold for over 20 mins -Mia tells me she is going to charge a Flight Booking Problems fee?! Customer service?,0,1,0,1,0
.@united I took a screenshot and emailed it to myself. Let's DM and figure this out.,0,0,1,0,0
@united She ? won't ? be ? at ? my ? wedding ?. This is an irreplaceable milestone. There's no reFlight Booking Problems. How can we be repaid for this?,0,1,0,1,0
@united Brothers luggage was lost on Copa Airlines Flight 635. He's competing Sunday for the 2015 Panamerican Cross Country Cup. Please help,0,1,1,0,0
"@United, will you fill it? Yes they will. Thanks! #BringYourOwn, @kleankanteen http://t.co/daaa0rqBXW",1,0,0,1,0
@united On last flight of the day no less. I am now driving 4 hours to Aspen thru a snowstorm Thx to your teams lack of customer empathy,0,1,0,0,0
@United Brothers baggage was lost on route to 2015 Panamerican Cross Country Cup Championship in Columbia. His race is Sunday. Please help.,0,0,1,0,0
@united Yes there were PLENTY of seats available.  So why did Vicky Thomas refuse to give one to a million mile flyer?,0,1,0,1,0
"@united funny, both my flights yesterday were delayed because of mechanical issues. Rotten luck to get 2 planes in a row with ""issues""...",0,1,0,0,0
@united that would have been nice earlier  today. Too Late Flight now. I hope.,0,1,0,0,0
@united waiting 12 mins and counting to get through to Global Services....something going on?,0,1,0,1,0
@united no still trying to get home.,0,0,1,0,0
@united Also your at-gate monitor showed 23 empty seats,0,0,1,0,0
@united That is not what your reservations desk just told me.  They said there were plenty of seats,0,1,0,1,0
"@united very exasperating I'm having a difficult time with Flight Booking Problems as the error message says you're undergoing maintenance. Really, now?",0,1,0,1,0
.@united This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!,1,0,0,0,0
"@united @SCVPools 
Please call me at 310-795-2210.",0,0,1,0,0
@united lax29108m make it happen please else on a cruise with no luggage tomorrow,0,0,1,0,0
@united no I did not make connection.  Your stellar employee Vicky Thomas refused to board me even though 23 empty seats on plane,0,1,0,0,0
@united Of course. That was the start of my trip 3 wks. ago. Its gone further downhill on my return.,0,0,1,0,0
"@united how much longer will it take? It a guitar, not a royal commission!",0,1,0,1,0
"@united I have a voucher that expires next week, can I get an extension on it before it expires?",0,0,0,1,0
"@united sure, but 8 different texts changing time &amp; gate (especially locations across the entire concourse). That just seemed a little off.",0,0,1,0,0
@united you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.,0,1,0,1,0
"@united to Late Flight now, but in future flights, train staff better to handle emergency situations, and ground staff in Customer Service",0,0,0,1,1
@united San Diego to Chicago. Leaving at 6:15 am tomorrow,0,0,1,0,0
@united Stuck in this airport 12 hours in standbys cuz the pilot showed up Late Flight in PJs &amp  i missed my connectin flight. PJ's I TELL U! #NYFW,0,1,0,0,0
"@united Brian at SFO customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay. #FTW",1,0,0,0,0
@united Thank you! Have a nice evening.,1,0,0,0,0
@united if I wait I'll lose the flight. So frustrating.,0,1,0,0,0
@united it most certainly was not.,0,0,1,0,0
@united its available online I just can't figure out how to do it to guarantee same flight,0,0,0,1,0
@united trying to book flight w/miles. Was on hold for 50m before I gave up. Need to get 6 on same flight using two diff # and pay 4 1tix,0,1,0,1,0
@united No thanks.  Took care of it when I called,0,0,1,0,0
"@united THAT'S the tweet u choose to answer, to tell me you're not liable?! #youretheworst #neveragain",0,1,0,0,0
@united y not? You're the reason we're in Houston and not NYC tonight. It took the plane an hour to take off - no explanations or sorry.,0,1,0,1,0
@united awesome thank you very much for the help,1,0,0,0,0
@united you need to follow me so I can dm you to give you the info,0,0,1,0,0
"@united @airlines. Agents arguing about check bag announcement. Looked for room until seat 20, gave up and walked back to seat 7.Unnecessary",0,1,0,0,0
@united yea I saw that I'm moving to China and have 5-6 bags will pay whatever but wanted to make sure it was ok to bring that many,0,0,1,0,0
"@united you should change your name to United Incompetence. No flight until Monday, have to take a 7 hour drive now to get to my flight!",0,1,0,1,0
"@united not even mentioning how rude the customer service was to us. As a business owner, I'd be mortified if my employees acted as yours",0,1,0,1,0
@united kept me watching the safety video for the first time in forever. Nice job .,1,0,0,0,0
@United has time to respond to everyone else's complaints but not mine. You just lost a customer,0,1,0,1,0
@United thanks to Lea in the Chicago office for her help in switching our Cancelled Flighted flights!!,1,0,0,0,0
"@united ""most likely"" makes it sound like you have no idea, which is not how I want my flights to be. Please use facts thanks.",0,1,0,0,1
@united tell me something I don't know...not #keepingit100 #weaktea,0,0,1,0,0
@united the wait time for a baggage question is 60 minutes that's crazy is there a limit to the amount of bags I can bring internationally,0,0,0,1,0
“@united: @leigh_emery We don't like to hear this. Is there anything we can help with? Thanks. ^EY” another empty offer for help.,0,1,0,1,0
@united I'm try to upgrade my seats to first class but the wait time on the phone is 40 minutes... can you help?,0,0,1,1,0
@united UA7985 is a coshared flight w/ ANA. Unable to check in 24 hrs prior.,0,1,0,1,0
@united never flying with you guys ever again. The customer service is piss poor at best.,0,1,0,1,0
@united when a 2 hour flight turns into a 3:30 ordeal...sigh,0,0,1,0,0
@united where are our luggages? With a group and over 20 luggages are lost,0,1,0,1,0
"@united assistance with what, the attitude of your staff no matter which airport we are at?",0,1,0,1,0
@united Sure.  Follow for a sec and I will.,0,0,1,0,0
@united Thank you so much for your help with my birthday trip! Tickets are confirmed! :-),1,0,0,0,0
@united airlines. On flight UA 1669. Need to make UA 3781. Can u hold the plane for us?,0,0,0,1,0
@united when will I hear? Guitar was damaged in December. I use my guitar to earn a living. Get your act together!,0,1,0,1,0
@united I was on hold for over 20 minutes and was talking to one of your employees. I asked him for name or id # and he hung up in my face!,0,1,0,0,0
@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?,0,1,0,1,0
"@united tried other flight options as per weblink, non available for next 2 days, frustrating #notgoodenough #poorservice",0,1,0,1,0
@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.,0,1,0,0,0
@united how do you stay in business with such poor service? #poorservice #notgoodenough http://t.co/VO61LME5ja,0,1,0,1,0
@united Will the airline refuse my Canadian passport with less than 6 months remaining validity? Going to US.,0,0,1,1,0
@united what time should I arrive at the airport for my 6:15 am domestic flight out of San Diego?,0,0,1,1,0
@united I sent a DM re an existing reservation but no one has responded,0,1,0,1,0
@united I am going to a service desk now to see what the options are.,0,0,1,0,0
@united I miss the Continental days.,0,0,1,0,0
@united or how about next time my bag is underweight you guys credit me $200. Or how about I take my business to an airline that cares.,0,1,0,1,0
"@united It wasn't full, I had plenty of time to go to the gate and check, plus with my status I should have gotten on!?!",0,0,1,0,0
@united Then why did your staff refuse to let ME on the earlier flight citing my having checked a bag?!?!,0,1,0,1,0
"@united Thanks for nothing. Next time I'll bring a whole extra suitcase for my 1 extra pound. That makes sense, right?",0,1,0,1,0
"@united first you lost all my bags, now you Cancelled Flight my flight home. 30 min wait to talk to somebody #poorservice #notgoodenough",0,1,0,1,0
"@united Great landing in Denver, next Rapid City. Snow starting to fall...Florida Everglades is a faint sunburn away...here comes the cold!",1,0,0,0,0
@united Looking forward to flying with you guys as well !! :),1,0,0,0,0
@united how is it that my flight #3367 can arrive early and be delayed due to no gate being available. We are now 20 min Late Flight on tarmac,0,1,0,1,0
